SurveyCode,Q,Opt_top,Opt_bottom,Choice
7923256,0,5.800000,13.700000,1
7923256,1,21.600000,2.800000,1
7923256,2,16.300000,7.400000,0
7923256,3,11.900000,2.100000,0
7923256,4,109.000000,30.000000,1
7923256,5,124.000000,20.000000,0
7923256,6,209.000000,2.000000,0
7923256,7,269.000000,32.000000,0
7923256,8,8120.000000,1206.000000,0
7923256,9,19.000000,296.000000,1
6647171,0,18.300000,7.100000,0
6647171,1,1.600000,1.100000,0
6647171,2,6.300000,1.800000,0
6647171,3,1.400000,2.000000,0
6647171,4,42.000000,74.000000,1
6647171,5,1584.000000,65.000000,0
6647171,6,50.000000,5.000000,0
6647171,7,77.000000,117.000000,1
6647171,8,872.000000,250.000000,0
6647171,9,54.000000,579.000000,1
8529003,0,2.500000,4.200000,0
8529003,1,3.900000,1.400000,0
8529003,2,2.400000,5.200000,0
8529003,3,2.400000,1.100000,1
8529003,4,34.000000,22.000000,0
8529003,5,286.000000,90.000000,1
8529003,6,2264.000000,147.000000,1
8529003,7,396.000000,224.000000,1
8529003,8,962.000000,370.000000,0
8529003,9,445.000000,138.000000,0
6477266,0,4.200000,5.200000,0
6477266,1,5.900000,3.900000,0
6477266,2,1.900000,6.000000,1
6477266,3,4.200000,2.600000,0
6477266,4,69.000000,27.000000,0
6477266,5,554.000000,85.000000,0
6477266,6,26.000000,235.000000,1
6477266,7,98.000000,213.000000,1
6477266,8,99.000000,961.000000,1
6477266,9,392.000000,104.000000,1
519870,0,1.800000,1.600000,0
519870,1,6.300000,4.400000,0
519870,2,4.200000,8.900000,1
519870,3,3.200000,1.900000,0
519870,4,36.000000,40.000000,0
519870,5,376.000000,469.000000,1
519870,6,474.000000,2.000000,0
519870,7,242.000000,889.000000,1
519870,8,380.000000,1293.000000,1
519870,9,305.000000,507.000000,1
1095147,0,2.900000,8.200000,1
1095147,1,1.300000,6.400000,1
1095147,2,9.900000,4.400000,0
1095147,3,2.000000,1.300000,0
1095147,4,51.000000,71.000000,1
1095147,5,508.000000,61.000000,0
1095147,6,42.000000,14.000000,0
1095147,7,62.000000,562.000000,1
1095147,8,199.000000,508.000000,1
1095147,9,43.000000,37.000000,0
6400908,0,1.800000,9.500000,1
6400908,1,3.800000,10.700000,1
6400908,2,5.300000,1.600000,1
6400908,3,4.400000,1.300000,1
6400908,4,22.000000,21.000000,0
6400908,5,1159.000000,267.000000,1
6400908,6,1273.000000,70.000000,0
6400908,7,62.000000,115.000000,1
6400908,8,1214.000000,3242.000000,1
6400908,9,64.000000,389.000000,1
9045770,0,1.400000,2.200000,1
9045770,1,1.600000,4.900000,0
9045770,2,7.700000,7.000000,1
9045770,3,2.900000,5.400000,0
9045770,4,76.000000,55.000000,1
9045770,5,1815.000000,289.000000,1
9045770,6,161.000000,2254.000000,0
9045770,7,290.000000,97.000000,0
9045770,8,631.000000,3124.000000,0
9045770,9,55.000000,99.000000,0
4487032,0,5.800000,12.000000,1
4487032,1,12.700000,5.400000,0
4487032,2,3.300000,16.700000,1
