SurveyCode,Q,Opt_top,Opt_bottom,Choice
9406160,0,4.900000,5.500000,0
9406160,1,4.700000,6.300000,0
9406160,2,5.900000,4.400000,0
9406160,3,2.500000,2.800000,0
9406160,4,36.000000,31.000000,0
9406160,5,354.000000,445.000000,0
9406160,6,43.000000,108.000000,1
9406160,7,812.000000,115.000000,1
9406160,8,567.000000,967.000000,1
9406160,9,136.000000,79.000000,0
4763512,0,11.300000,1.100000,0
4763512,1,12.100000,13.900000,0
4763512,2,1.100000,1.100000,0
4763512,3,9.100000,8.900000,1
4763512,4,108.000000,15.000000,1
4763512,5,2634.000000,2978.000000,0
4763512,6,4.000000,3.000000,0
4763512,7,58.000000,1885.000000,1
4763512,8,8620.000000,102.000000,0
4763512,9,2067.000000,26.000000,0
3912034,0,1.100000,17.000000,1
3912034,1,14.200000,13.900000,1
3912034,2,14.800000,14.800000,0
3912034,3,8.200000,9.200000,0
3912034,4,12.000000,11.000000,1
3912034,5,2068.000000,1977.000000,0
3912034,6,4.000000,11504.000000,1
3912034,7,42.000000,1883.000000,0
3912034,8,70.000000,8620.000000,1
3912034,9,2183.000000,1938.000000,0
4144877,0,17.000000,13.900000,0
4144877,1,12.700000,17.900000,0
4144877,2,16.100000,13.700000,1
4144877,3,9.200000,11.900000,0
4144877,4,114.000000,15.000000,1
4144877,5,15.000000,31.000000,1
4144877,6,2.000000,3.000000,1
4144877,7,3509.000000,3509.000000,0
4144877,8,70.000000,11520.000000,1
4144877,9,21.000000,2090.000000,1
3862317,0,17.200000,12.000000,0
3862317,1,12.700000,14.200000,1
3862317,2,16.300000,1.100000,0
3862317,3,9.200000,8.000000,0
3862317,4,108.000000,16.000000,0
3862317,5,2010.000000,2010.000000,0
3862317,6,4.000000,10805.000000,1
3862317,7,41.000000,47.000000,1
3862317,8,6648.000000,109.000000,0
3862317,9,22.000000,1938.000000,1
2769994,0,3.200000,5.500000,1
2769994,1,6.200000,5.200000,0
2769994,2,4.000000,2.100000,1
2769994,3,2.700000,2.100000,0
2769994,4,62.000000,20.000000,0
2769994,5,41.000000,528.000000,1
2769994,6,112.000000,74.000000,0
2769994,7,252.000000,1242.000000,0
2769994,8,532.000000,779.000000,1
2769994,9,53.000000,942.000000,1
9472680,0,2.600000,4.900000,0
9472680,1,3.100000,1.600000,1
9472680,2,2.900000,3.400000,0
9472680,3,1.900000,1.700000,1
9472680,4,76.000000,24.000000,0
9472680,5,107.000000,396.000000,1
9472680,6,433.000000,31.000000,0
9472680,7,254.000000,261.000000,1
9472680,8,488.000000,792.000000,1
9472680,9,73.000000,19.000000,0
1928010,0,11.100000,1.100000,1
1928010,1,21.600000,18.300000,0
1928010,2,13.100000,1.100000,0
1928010,3,9.100000,9.100000,0
1928010,4,108.000000,15.000000,0
1928010,5,3255.000000,2048.000000,1
1928010,6,2.000000,2.000000,1
1928010,7,47.000000,41.000000,0
1928010,8,12445.000000,11520.000000,1
1928010,9,27.000000,19.000000,0
1810214,0,14.100000,1.100000,0
1810214,1,15.000000,15.000000,0
1810214,2,14.800000,1.100000,0
1810214,3,8.000000,8.900000,1
1810214,4,12.000000,109.000000,1
1810214,5,3606.000000,15.000000,0
1810214,6,3027.000000,2.000000,0
1810214,7,2976.000000,2188.000000,1
1810214,8,8120.000000,107.000000,0
1810214,9,24.000000,21.000000,0
9510187,0,3.200000,1.300000,0
9510187,1,2.500000,7.800000,1
9510187,2,16.100000,2.000000,0
9510187,3,1.800000,7.500000,0
9510187,4,35.000000,78.000000,1
9510187,5,865.000000,200.000000,0
9510187,6,4.000000,224.000000,0
9510187,7,110.000000,251.000000,1
