ipaddress,assignment_id,experiment_id,visibility,hit_id,worker_id,NumAns,TimeStarted,AnswerChosen,AnswerOrder,end_time,status,QNum,survey_code,Score,nb,all_nb,all_nt,nt,TimeInArray_0,TimeOutArray_0,TimeInArray_1,TimeOutArray_1,TimeInArray_2,TimeOutArray_2,TimeInArray_3,TimeOutArray_3,TimeInArray_4,TimeOurArray_4,TimeInArray_5,TimeOutArray_5,TimeInArray_6,TimeOutArray_6,TimeInArray_7,TimeOutArray_7,survey_codes,TimeInArray8,TimeOutArray8,TimeOutArray4,TimeOutArray_4,RandQ,Guess,GuessAnswers,
,92380,,random,,,,,,,,,,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92381,,,,,2,20190828010615,,,,,1,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,1,
,92382,,,,,2,20190828010625,,,,,2,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,
,92383,,,,,2,20190828010649,,,,,3,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,1,
,92384,,,,,2,20190828010657,,,,,4,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,
,92385,,,,,2,20190828010704,,,,,5,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,1,
,92386,,,,,2,20190828010713,,,,,6,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,10,123,1,
,92387,,,,,2,20190828010720,,,,,7,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1,
,92388,,,,,2,20190828010730,,,,,8,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,4,42,1,
,92389,,,,,2,20190828010738,,,,,9,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,1,
,92390,,,,,2,20190828010751,,,,,10,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,1,
,92391,,,,,,,,,20190828010758,submitted,,4483115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.9.184.216,92392,,random,,,,,,,,,,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92393,,random,,,,,,,,,,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92394,,,,,2,20190828011657,,,,,1,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,
,92395,,,,,2,20190828011700,,,,,2,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,
,92396,,,,,2,20190828011701,,,,,3,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,
,92397,,,,,2,20190828011703,,,,,4,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,1,
,92398,,,,,2,20190828011704,,,,,5,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,1,
,92399,,,,,2,20190828011705,,,,,6,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,
,92400,,,,,2,20190828011707,,,,,7,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,1,
,92401,,,,,2,20190828011708,,,,,8,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,
,92402,,,,,2,20190828011709,,,,,9,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,1,
,92403,,,,,2,20190828011712,,,,,10,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,1,
,92404,,,,,,,,,20190828011714,submitted,,1165076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.9.184.216,92405,,random,,,,,,,,,,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92406,,random,,,,,,,,,,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92407,,,,,2,20190828012033,,,,,1,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,1,
,92408,,,,,2,20190828012040,,,,,2,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,
,92409,,,,,2,20190828012042,,,,,3,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,
,92410,,,,,2,20190828012043,,,,,4,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,
,92411,,,,,2,20190828012045,,,,,5,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,1,
,92412,,,,,2,20190828012046,,,,,6,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,1,
,92413,,,,,2,20190828012047,,,,,7,840004,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,1,
