,ipaddress,assignment_id,experiment_id,visibility,hit_id,worker_id,NumAns,TimeStarted,AnswerChosen,AnswerOrder,end_time,status,QNum,survey_code,Score,TimeInArray_0,TimeOutArray_0,TimeInArray_1,TimeOutArray_1,TimeInArray_2,TimeOutArray_2,TimeInArray_3,TimeOutArray_3,TimeInArray_4,TimeOurArray_4,TimeInArray_5,TimeOutArray_5,TimeInArray_6,TimeOutArray_6,TimeInArray_7,TimeOutArray_7,survey_codes,TimeInArray8,TimeOutArray8,TimeOutArray4,TimeOutArray_4,RandQ,Guess,
,NULL,1708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20180825022221,submitted,NULL,5538607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,71.206.8.9,1709,NULL,popularity_randomized,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,NULL,1710,NULL,popularity_randomized,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,NULL,1711,NULL,NULL,NULL,NULL,8,20180929051618,NULL,NULL,NULL,NULL,1,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,300,
,NULL,1712,NULL,NULL,NULL,NULL,2,20180929051629,NULL,NULL,NULL,NULL,2,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,900,
,NULL,1713,NULL,NULL,NULL,NULL,2,20180929051635,NULL,NULL,NULL,NULL,3,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,900,
,NULL,1714,NULL,NULL,NULL,NULL,8,20180929051640,NULL,NULL,NULL,NULL,4,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,5,
,NULL,1715,NULL,NULL,NULL,NULL,2,20180929051652,NULL,NULL,NULL,NULL,5,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,30,
,NULL,1716,NULL,NULL,NULL,NULL,2,20180929051702,NULL,NULL,NULL,NULL,6,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,7,
,NULL,1717,NULL,NULL,NULL,NULL,2,20180929051711,NULL,NULL,NULL,NULL,7,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,20,
,NULL,1718,NULL,NULL,NULL,NULL,2,20180929051716,NULL,NULL,NULL,NULL,8,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,150,
,NULL,1719,NULL,NULL,NULL,NULL,8,20180929051722,NULL,NULL,NULL,NULL,9,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,900,
,NULL,1720,NULL,NULL,NULL,NULL,2,20180929051728,NULL,NULL,NULL,NULL,10,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2,
,NULL,1721,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20180929051732,submitted,NULL,1305325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,76.125.139.110,1722,NULL,popularity_randomized,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,NULL,1723,NULL,popularity_randomized,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,NULL,1724,NULL,NULL,NULL,NULL,2,20180929051646,NULL,NULL,NULL,NULL,1,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2.4,
,NULL,1725,NULL,NULL,NULL,NULL,2,20180929051705,NULL,NULL,NULL,NULL,2,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,18,
,NULL,1726,NULL,NULL,NULL,NULL,8,20180929051731,NULL,NULL,NULL,NULL,3,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1.6,
,NULL,1727,NULL,NULL,NULL,NULL,2,20180929051739,NULL,NULL,NULL,NULL,4,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,
,NULL,1728,NULL,NULL,NULL,NULL,2,20180929051747,NULL,NULL,NULL,NULL,5,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,146,
,NULL,1729,NULL,NULL,NULL,NULL,2,20180929051757,NULL,NULL,NULL,NULL,6,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,220,
,NULL,1730,NULL,NULL,NULL,NULL,8,20180929051806,NULL,NULL,NULL,NULL,7,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2.25,
,NULL,1731,NULL,NULL,NULL,NULL,2,20180929051817,NULL,NULL,NULL,NULL,8,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,750,
,NULL,1732,NULL,NULL,NULL,NULL,8,20180929051823,NULL,NULL,NULL,NULL,9,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,320,
,NULL,1733,NULL,NULL,NULL,NULL,2,20180929051831,NULL,NULL,NULL,NULL,10,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,115,
,NULL,1734,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20180929051838,submitted,NULL,7482178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,24.23.90.177,1735,NULL,popularity_randomized,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,NULL,1736,NULL,popularity_randomized,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,NULL,1737,NULL,NULL,NULL,NULL,8,20180929051657,NULL,NULL,NULL,NULL,1,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1.9,
,NULL,1738,NULL,NULL,NULL,NULL,8,20180929051717,NULL,NULL,NULL,NULL,2,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,200,
,NULL,1739,NULL,NULL,NULL,NULL,2,20180929051736,NULL,NULL,NULL,NULL,3,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,100,
,NULL,1740,NULL,NULL,NULL,NULL,8,20180929051747,NULL,NULL,NULL,NULL,4,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,200,
,NULL,1741,NULL,NULL,NULL,NULL,8,20180929051756,NULL,NULL,NULL,NULL,5,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,70,
,NULL,1742,NULL,NULL,NULL,NULL,2,20180929051803,NULL,NULL,NULL,NULL,6,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,7.9,
,NULL,1743,NULL,NULL,NULL,NULL,8,20180929051820,NULL,NULL,NULL,NULL,7,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,4.7,
,NULL,1744,NULL,NULL,NULL,NULL,8,20180929051829,NULL,NULL,NULL,NULL,8,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,50,
,NULL,1745,NULL,NULL,NULL,NULL,2,20180929051837,NULL,NULL,NULL,NULL,9,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,50,
,NULL,1746,NULL,NULL,NULL,NULL,2,20180929051848,NULL,NULL,NULL,NULL,10,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1.7,
,NULL,1747,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20180929051859,submitted,NULL,2774564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
,199.116.115.140,1748,NULL,popularity_randomized,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1773980,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
