ipaddress,assignment_id,experiment_id,visibility,hit_id,worker_id,NumAns,TimeStarted,AnswerChosen,AnswerOrder,end_time,status,QNum,survey_code,Score,TimeInArray_0,TimeOutArray_0,TimeInArray_1,TimeOutArray_1,TimeInArray_2,TimeOutArray_2,TimeInArray_3,TimeOutArray_3,TimeInArray_4,TimeOurArray_4,TimeInArray_5,TimeOutArray_5,TimeInArray_6,TimeOutArray_6,TimeInArray_7,TimeOutArray_7,survey_codes,TimeInArray8,TimeOutArray8,TimeOutArray4,TimeOutArray_4,RandQ,Guess,GuessAnswers,
,68201,,,,,,,,,,,,2963816,,,,1550198731012,,,,,,,,,,,,,,,,,,,,,,
,68202,,,,,,,,,,,,2963816,,,,1550198737162,,,,,,,,,,,,,,,,,,,,,,
,68203,,,,,,,,,,,,2963816,,,,,1550198731029,,,,,,,,,,,,,,,,,,,,,
,68204,,,,,,,,,,,,2963816,,,,,1550198737195,,,,,,,,,,,,,,,,,,,,,
,68205,,,,,,,,,20190215024545,submitted,,2963816,,,,,,,,,,,,,,,,,,,,,,,,,,
122.178.51.88,68206,,random,,,,,,,,,,8085504,,,,,,,,,,,,,,,,,,,,,,,,,,
,68207,,random,,,,,,,,,,8085504,,,,,,,,,,,,,,,,,,,,,,,,,,
,68208,,,,,2,20190215024906,2,2,,,1,8085504,0,,,,,,,,,,,,,,,,,,,,,,7,465,0,
,68209,,,,,,,,,,,,8085504,,1550198963019,,,,,,,,,,,,,,,,,,,,,,,,
,68210,,,,,,,,,,,,8085504,,1550198968331,,,,,,,,,,,,,,,,,,,,,,,,
,68211,,,,,,,,,,,,8085504,,,1550198964481,,,,,,,,,,,,,,,,,,,,,,,
,68212,,,,,,,,,,,,8085504,,,1550198971031,,,,,,,,,,,,,,,,,,,,,,,
,68213,,,,,2,20190215024906,2,1,,,1,8085504,0,,,,,,,,,,,,,,,,,,,,,,7,157,0,
,68214,,,,,,,,,,,,8085504,,,,1550198951553,,,,,,,,,,,,,,,,,,,,,,
,68215,,,,,,,,,,,,8085504,,,,1550198951998,,,,,,,,,,,,,,,,,,,,,,
,68216,,,,,,,,,,,,8085504,,,,1550198955615,,,,,,,,,,,,,,,,,,,,,,
,68217,,,,,,,,,,,,8085504,,,,1550198964815,,,,,,,,,,,,,,,,,,,,,,
,68218,,,,,,,,,,,,8085504,,,,1550198968281,,,,,,,,,,,,,,,,,,,,,,
,68219,,,,,,,,,,,,8085504,,,,1550198971081,,,,,,,,,,,,,,,,,,,,,,
,68220,,,,,,,,,,,,8085504,,,,1550199002913,,,,,,,,,,,,,,,,,,,,,,
