,ipaddress,assignment_id,experiment_id,visibility,hit_id,worker_id,NumAns,TimeStarted,AnswerChosen,AnswerOrder,end_time,status,QNum,survey_code,Score,TimeInArray_0,TimeOutArray_0,TimeInArray_1,TimeOutArray_1,TimeInArray_2,TimeOutArray_2,TimeInArray_3,TimeOutArray_3,TimeInArray_4,TimeOurArray_4,TimeInArray_5,TimeOutArray_5,TimeInArray_6,TimeOutArray_6,TimeInArray_7,TimeOutArray_7,survey_codes,TimeInArray8,TimeOutArray8,TimeOutArray4,TimeOutArray_4,RandQ,Guess,GuessAnswers,
,168.150.12.235,11420,,random,,,,,,,,,,9015344,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11421,,random,,,,,,,,,,9015344,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11422,,,,,2,20190205192606,2,2,,,1,9015344,0,,,,,,,,,,,,,,,,,,,,,,3,1.8,0,
,,11423,,,,,,,,,,,,9015344,,1549394769224,,,,,,,,,,,,,,,,,,,,,,,,
,,11424,,,,,,,,,,,,9015344,,,1549394769342,,,,,,,,,,,,,,,,,,,,,,,
,,11425,,,,,2,20190205192606,2,1,,,1,9015344,0,,,,,,,,,,,,,,,,,,,,,,3,4.1,0,
,,11426,,,,,,,,,,,,9015344,,,,1549394768255,,,,,,,,,,,,,,,,,,,,,,
,,11427,,,,,,,,,,,,9015344,,,,,1549394768891,,,,,,,,,,,,,,,,,,,,,
,,11428,,,,,2,20190205192610,1,2,,,2,9015344,0,,,,,,,,,,,,,,,,,,,,,,2,3.7,0,
,,11429,,,,,,,,,,,,9015344,,1549394771584,,,,,,,,,,,,,,,,,,,,,,,,
,,11430,,,,,,,,,,,,9015344,,,1549394772417,,,,,,,,,,,,,,,,,,,,,,,
,,11431,,,,,2,20190205192610,1,1,,,2,9015344,0,,,,,,,,,,,,,,,,,,,,,,2,1.8,0,
,,11432,,,,,2,20190205192613,2,1,,,3,9015344,0,,,,,,,,,,,,,,,,,,,,,,7,129,0,
,,11433,,,,,2,20190205192613,2,2,,,3,9015344,0,,,,,,,,,,,,,,,,,,,,,,7,27,0,
,,11434,,,,,,,,,,,,9015344,,,,1549394774263,,,,,,,,,,,,,,,,,,,,,,
,,11435,,,,,,,,,,,,9015344,,,,1549394774830,,,,,,,,,,,,,,,,,,,,,,
,,11436,,,,,,,,,,,,9015344,,,,,1549394774329,,,,,,,,,,,,,,,,,,,,,
,,11437,,,,,,,,,,,,9015344,,,,,1549394775263,,,,,,,,,,,,,,,,,,,,,
,,11438,,,,,2,20190205192616,1,1,,,4,9015344,0,,,,,,,,,,,,,,,,,,,,,,4,2,0,
,,11439,,,,,,,,,,,,9015344,,1549394777606,,,,,,,,,,,,,,,,,,,,,,,,
,,11440,,,,,,,,,,,,9015344,,,1549394777857,,,,,,,,,,,,,,,,,,,,,,,
,,11441,,,,,2,20190205192616,1,2,,,4,9015344,0,,,,,,,,,,,,,,,,,,,,,,4,2.8,0,
,,11442,,,,,,,,,,,,9015344,,,,1549394777290,,,,,,,,,,,,,,,,,,,,,,
,,11443,,,,,,,,,,,,9015344,,,,1549394778189,,,,,,,,,,,,,,,,,,,,,,
,,11444,,,,,,,,,,,,9015344,,,,,1549394777371,,,,,,,,,,,,,,,,,,,,,
,,11445,,,,,,,,,,,,9015344,,,,,1549394778272,,,,,,,,,,,,,,,,,,,,,
,,11446,,,,,2,20190205192619,2,2,,,5,9015344,0,,,,,,,,,,,,,,,,,,,,,,9,203,0,
,,11447,,,,,,,,,,,,9015344,,1549394779882,,,,,,,,,,,,,,,,,,,,,,,,
,,11448,,,,,,,,,,,,9015344,,1549394781674,,,,,,,,,,,,,,,,,,,,,,,,
,,11449,,,,,,,,,,,,9015344,,,1549394779930,,,,,,,,,,,,,,,,,,,,,,,
,,11450,,,,,,,,,,,,9015344,,,1549394781739,,,,,,,,,,,,,,,,,,,,,,,
,,11451,,,,,2,20190205192619,2,1,,,5,9015344,0,,,,,,,,,,,,,,,,,,,,,,9,1990,0,
,,11452,,,,,,,,,,,,9015344,,,,1549394780970,,,,,,,,,,,,,,,,,,,,,,
,,11453,,,,,,,,,,,,9015344,,,,,1549394781457,,,,,,,,,,,,,,,,,,,,,
,,11454,,,,,2,20190205192622,1,2,,,6,9015344,0,,,,,,,,,,,,,,,,,,,,,,5,78,0,
,,11455,,,,,,,,,,,,9015344,,1549394783514,,,,,,,,,,,,,,,,,,,,,,,,
,,11456,,,,,,,,,,,,9015344,,,1549394784846,,,,,,,,,,,,,,,,,,,,,,,
,,11457,,,,,2,20190205192622,1,1,,,6,9015344,0,,,,,,,,,,,,,,,,,,,,,,5,60,0,
,,11458,,,,,2,20190205192626,2,1,,,7,9015344,0,,,,,,,,,,,,,,,,,,,,,,8,737,0,
,,11459,,,,,2,20190205192626,2,2,,,7,9015344,0,,,,,,,,,,,,,,,,,,,,,,8,247,0,
,,11460,,,,,,,,,,,,9015344,,,,1549394786998,,,,,,,,,,,,,,,,,,,,,,
,,11461,,,,,,,,,,,,9015344,,,,1549394787348,,,,,,,,,,,,,,,,,,,,,,
,,11462,,,,,,,,,,,,9015344,,,,,1549394787265,,,,,,,,,,,,,,,,,,,,,
,,11463,,,,,,,,,,,,9015344,,,,,1549394787973,,,,,,,,,,,,,,,,,,,,,
,,11464,,,,,2,20190205192630,2,2,,,8,9015344,0,,,,,,,,,,,,,,,,,,,,,,10,71,0,
,,11465,,,,,,,,,,,,9015344,,1549394791360,,,,,,,,,,,,,,,,,,,,,,,,
,,11466,,,,,,,,,,,,9015344,,1549394792492,,,,,,,,,,,,,,,,,,,,,,,,
,,11467,,,,,,,,,,,,9015344,,,1549394791393,,,,,,,,,,,,,,,,,,,,,,,
,,11468,,,,,,,,,,,,9015344,,,1549394792510,,,,,,,,,,,,,,,,,,,,,,,
,,11469,,,,,2,20190205192630,2,1,,,8,9015344,0,,,,,,,,,,,,,,,,,,,,,,10,216,0,
,,11470,,,,,,,,,,,,9015344,,,,1549394791502,,,,,,,,,,,,,,,,,,,,,,
,,11471,,,,,,,,,,,,9015344,,,,1549394791871,,,,,,,,,,,,,,,,,,,,,,
,,11472,,,,,,,,,,,,9015344,,,,,1549394791569,,,,,,,,,,,,,,,,,,,,,
,,11473,,,,,,,,,,,,9015344,,,,,1549394792310,,,,,,,,,,,,,,,,,,,,,
,,11474,,,,,2,20190205192633,2,1,,,9,9015344,0,,,,,,,,,,,,,,,,,,,,,,6,155,0,
,,11475,,,,,2,20190205192633,2,2,,,9,9015344,0,,,,,,,,,,,,,,,,,,,,,,6,7405,0,
,,11476,,,,,,,,,,,,9015344,,,,1549394794886,,,,,,,,,,,,,,,,,,,,,,
,,11477,,,,,,,,,,,,9015344,,,,,1549394795536,,,,,,,,,,,,,,,,,,,,,
,,11478,,,,,2,20190205192637,1,1,,,10,9015344,0,,,,,,,,,,,,,,,,,,,,,,1,1.7,0,
,,11479,,,,,,,,,,,,9015344,,1549394820098,,,,,,,,,,,,,,,,,,,,,,,,
,,11480,,,,,,,,,,,,9015344,,1549394821360,,,,,,,,,,,,,,,,,,,,,,,,
,,11481,,,,,,,,,,,,9015344,,,1549394820282,,,,,,,,,,,,,,,,,,,,,,,
,,11482,,,,,,,,,,,,9015344,,,1549394822066,,,,,,,,,,,,,,,,,,,,,,,
,,11483,,,,,2,20190205192637,1,2,,,10,9015344,0,,,,,,,,,,,,,,,,,,,,,,1,1.9,0,
,,11484,,,,,,,,,,,,9015344,,,,1549394818689,,,,,,,,,,,,,,,,,,,,,,
,,11485,,,,,,,,,,,,9015344,,,,1549394822182,,,,,,,,,,,,,,,,,,,,,,
,,11486,,,,,,,,,,,,9015344,,,,,1549394819095,,,,,,,,,,,,,,,,,,,,,
,,11487,,,,,,,,,,,,9015344,,,,,1549394822233,,,,,,,,,,,,,,,,,,,,,
,,11488,,,,,,,,,20190205192703,submitted,,9015344,,,,,,,,,,,,,,,,,,,,,,,,,,
,75.39.85.140,11489,,random,,,,,,,,,,4626565,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11490,,random,,,,,,,,,,4626565,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11491,,,,,2,20190205193027,2,2,,,1,4626565,0,,,,,,,,,,,,,,,,,,,,,,7,22,0,
,,11492,,,,,,,,,,,,4626565,,1549395028439,,,,,,,,,,,,,,,,,,,,,,,,
,,11493,,,,,,,,,,,,4626565,,1549395029388,,,,,,,,,,,,,,,,,,,,,,,,
,,11494,,,,,,,,,,,,4626565,,1549395030273,,,,,,,,,,,,,,,,,,,,,,,,
,,11495,,,,,,,,,,,,4626565,,1549395030905,,,,,,,,,,,,,,,,,,,,,,,,
,,11496,,,,,,,,,,,,4626565,,,1549395028656,,,,,,,,,,,,,,,,,,,,,,,
,,11497,,,,,,,,,,,,4626565,,,1549395029421,,,,,,,,,,,,,,,,,,,,,,,
,,11498,,,,,,,,,,,,4626565,,,1549395030305,,,,,,,,,,,,,,,,,,,,,,,
,,11499,,,,,,,,,,,,4626565,,,1549395030922,,,,,,,,,,,,,,,,,,,,,,,
,,11500,,,,,2,20190205193027,2,1,,,1,4626565,0,,,,,,,,,,,,,,,,,,,,,,7,209,0,
,,11501,,,,,,,,,,,,4626565,,,,1549395029589,,,,,,,,,,,,,,,,,,,,,,
,,11502,,,,,,,,,,,,4626565,,,,1549395030522,,,,,,,,,,,,,,,,,,,,,,
,,11503,,,,,,,,,,,,4626565,,,,,1549395029922,,,,,,,,,,,,,,,,,,,,,
,,11504,,,,,,,,,,,,4626565,,,,,1549395030839,,,,,,,,,,,,,,,,,,,,,
,,11505,,,,,2,20190205193031,2,2,,,2,4626565,0,,,,,,,,,,,,,,,,,,,,,,2,6.6,0,
,,11506,,,,,,,,,,,,4626565,,1549395032039,,,,,,,,,,,,,,,,,,,,,,,,
,,11507,,,,,,,,,,,,4626565,,1549395032672,,,,,,,,,,,,,,,,,,,,,,,,
,,11508,,,,,,,,,,,,4626565,,,1549395032071,,,,,,,,,,,,,,,,,,,,,,,
,,11509,,,,,,,,,,,,4626565,,,1549395032687,,,,,,,,,,,,,,,,,,,,,,,
,,11510,,,,,2,20190205193031,2,1,,,2,4626565,0,,,,,,,,,,,,,,,,,,,,,,2,5.2,0,
,,11511,,,,,,,,,,,,4626565,,,,1549395032438,,,,,,,,,,,,,,,,,,,,,,
,,11512,,,,,,,,,,,,4626565,,,,,1549395032621,,,,,,,,,,,,,,,,,,,,,
,,11513,,,,,2,20190205193033,1,1,,,3,4626565,0,,,,,,,,,,,,,,,,,,,,,,6,405,0,
,,11514,,,,,,,,,,,,4626565,,1549395033722,,,,,,,,,,,,,,,,,,,,,,,,
,,11515,,,,,,,,,,,,4626565,,,1549395033878,,,,,,,,,,,,,,,,,,,,,,,
,,11516,,,,,2,20190205193033,1,2,,,3,4626565,0,,,,,,,,,,,,,,,,,,,,,,6,285,0,
,,11517,,,,,,,,,,,,4626565,,,,1549395033923,,,,,,,,,,,,,,,,,,,,,,
,,11518,,,,,,,,,,,,4626565,,,,,1549395033972,,,,,,,,,,,,,,,,,,,,,
,,11519,,,,,2,20190205193034,1,1,,,4,4626565,0,,,,,,,,,,,,,,,,,,,,,,3,8.4,0,
,,11520,,,,,,,,,,,,4626565,,1549395034854,,,,,,,,,,,,,,,,,,,,,,,,
,,11521,,,,,,,,,,,,4626565,,,1549395035139,,,,,,,,,,,,,,,,,,,,,,,
,,11522,,,,,2,20190205193034,1,2,,,4,4626565,0,,,,,,,,,,,,,,,,,,,,,,3,9.3,0,
,,11523,,,,,,,,,,,,4626565,,,,1549395035172,,,,,,,,,,,,,,,,,,,,,,
,,11524,,,,,,,,,,,,4626565,,,,,1549395035204,,,,,,,,,,,,,,,,,,,,,
,,11525,,,,,2,20190205193036,2,1,,,5,4626565,0,,,,,,,,,,,,,,,,,,,,,,4,3.6,0,
,,11526,,,,,2,20190205193036,2,2,,,5,4626565,0,,,,,,,,,,,,,,,,,,,,,,4,1.4,0,
,,11527,,,,,,,,,,,,4626565,,,,1549395036171,,,,,,,,,,,,,,,,,,,,,,
,,11528,,,,,,,,,,,,4626565,,,,,1549395036638,,,,,,,,,,,,,,,,,,,,,
,,11529,,,,,2,20190205193037,2,1,,,6,4626565,0,,,,,,,,,,,,,,,,,,,,,,8,523,0,
,,11530,,,,,2,20190205193037,2,2,,,6,4626565,0,,,,,,,,,,,,,,,,,,,,,,8,905,0,
,,11531,,,,,,,,,,,,4626565,,,,1549395037510,,,,,,,,,,,,,,,,,,,,,,
,,11532,,,,,,,,,,,,4626565,,,,,1549395037861,,,,,,,,,,,,,,,,,,,,,
,,11533,,,,,2,20190205193038,1,2,,,7,4626565,0,,,,,,,,,,,,,,,,,,,,,,10,258,0,
,,11534,,,,,,,,,,,,4626565,,,1549395038961,,,,,,,,,,,,,,,,,,,,,,,
,,11535,,,,,2,20190205193038,1,1,,,7,4626565,0,,,,,,,,,,,,,,,,,,,,,,10,224,0,
