ipaddress,assignment_id,experiment_id,visibility,hit_id,worker_id,NumAns,TimeStarted,AnswerChosen,AnswerOrder,end_time,status,QNum,survey_code,Score,TimeInArray_0,TimeOutArray_0,TimeInArray_1,TimeOutArray_1,TimeInArray_2,TimeOutArray_2,TimeInArray_3,TimeOutArray_3,TimeInArray_4,TimeOurArray_4,TimeInArray_5,TimeOutArray_5,TimeInArray_6,TimeOutArray_6,TimeInArray_7,TimeOutArray_7,survey_codes,TimeInArray8,TimeOutArray8,TimeOutArray4,TimeOutArray_4,RandQ,Guess,GuessAnswers,
73.138.104.199,37128,,random,,,,,,,,,,6208573,,,,,,,,,,,,,,,,,,,,,,,,,,
,37129,,random,,,,,,,,,,6208573,,,,,,,,,,,,,,,,,,,,,,,,,,
,37130,,,,,2,20190214232440,1,1,,,1,6208573,0,,,,,,,,,,,,,,,,,,,,,,4,1.2,0,
,37131,,,,,,,,,,,,6208573,,1550186689130,,,,,,,,,,,,,,,,,,,,,,,,
,37132,,,,,,,,,,,,6208573,,,1550186690622,,,,,,,,,,,,,,,,,,,,,,,
,37133,,,,,2,20190214232440,1,2,,,1,6208573,0,,,,,,,,,,,,,,,,,,,,,,4,2.4,0,
,37134,,,,,,,,,,,,6208573,,,,1550186690623,,,,,,,,,,,,,,,,,,,,,,
,37135,,,,,,,,,,,,6208573,,,,,1550186690712,,,,,,,,,,,,,,,,,,,,,
,37136,,,,,2,20190214232453,1,1,,,2,6208573,0,,,,,,,,,,,,,,,,,,,,,,10,706,0,
,37137,,,,,,,,,,,,6208573,,1550186696005,,,,,,,,,,,,,,,,,,,,,,,,
,37138,,,,,,,,,,,,6208573,,,1550186696797,,,,,,,,,,,,,,,,,,,,,,,
,37139,,,,,2,20190214232453,1,2,,,2,6208573,0,,,,,,,,,,,,,,,,,,,,,,10,346,0,
,37140,,,,,,,,,,,,6208573,,,,1550186692546,,,,,,,,,,,,,,,,,,,,,,
,37141,,,,,,,,,,,,6208573,,,,1550186696965,,,,,,,,,,,,,,,,,,,,,,
,37142,,,,,,,,,,,,6208573,,,,,1550186692635,,,,,,,,,,,,,,,,,,,,,
,37143,,,,,,,,,,,,6208573,,,,,1550186697056,,,,,,,,,,,,,,,,,,,,,
,37144,,,,,2,20190214232459,2,1,,,3,6208573,0,,,,,,,,,,,,,,,,,,,,,,9,4231,0,
,37145,,,,,2,20190214232459,2,2,,,3,6208573,0,,,,,,,,,,,,,,,,,,,,,,9,680,0,
,37146,,,,,,,,,,,,6208573,,,,1550186702914,,,,,,,,,,,,,,,,,,,,,,
,37147,,,,,,,,,,,,6208573,,,,,1550186704423,,,,,,,,,,,,,,,,,,,,,
,37148,,,,,2,20190214232506,1,2,,,4,6208573,0,,,,,,,,,,,,,,,,,,,,,,5,83,0,
,37149,,,,,,,,,,,,6208573,,1550186708551,,,,,,,,,,,,,,,,,,,,,,,,
,37150,,,,,,,,,,,,6208573,,,1550186709367,,,,,,,,,,,,,,,,,,,,,,,
,37151,,,,,2,20190214232506,1,1,,,4,6208573,0,,,,,,,,,,,,,,,,,,,,,,5,50,0,
,37152,,,,,2,20190214232511,1,2,,,5,6208573,0,,,,,,,,,,,,,,,,,,,,,,1,7.5,0,
,37153,,,,,,,,,,,,6208573,,1550186711161,,,,,,,,,,,,,,,,,,,,,,,,
,37154,,,,,,,,,,,,6208573,,1550186714285,,,,,,,,,,,,,,,,,,,,,,,,
,37155,,,,,,,,,,,,6208573,,,1550186714061,,,,,,,,,,,,,,,,,,,,,,,
,37156,,,,,,,,,,,,6208573,,,1550186714729,,,,,,,,,,,,,,,,,,,,,,,
,37157,,,,,2,20190214232511,1,1,,,5,6208573,0,,,,,,,,,,,,,,,,,,,,,,1,2.6,0,
,37158,,,,,2,20190214232516,1,2,,,6,6208573,0,,,,,,,,,,,,,,,,,,,,,,3,1.3,0,
,37159,,,,,,,,,,,,6208573,,1550186717549,,,,,,,,,,,,,,,,,,,,,,,,
,37160,,,,,,,,,,,,6208573,,1550186718803,,,,,,,,,,,,,,,,,,,,,,,,
,37161,,,,,,,,,,,,6208573,,,1550186717637,,,,,,,,,,,,,,,,,,,,,,,
,37162,,,,,,,,,,,,6208573,,,1550186719259,,,,,,,,,,,,,,,,,,,,,,,
